case_id,condition,membership
1,dissatisfaction,1.0000
1,policy_demand,0.3599
1,coproduction_request,0.0000
2,dissatisfaction,0.0000
2,policy_demand,1.0000
2,coproduction_request,0.0000
3,dissatisfaction,0.0000
3,policy_demand,0.0000
3,coproduction_request,1.0000
4,dissatisfaction,0.0000
4,policy_demand,0.4647
4,coproduction_request,0.0000
5,dissatisfaction,1.0000
5,policy_demand,0.0000
5,coproduction_request,0.0000
6,dissatisfaction,0.0000
6,policy_demand,1.0000
6,coproduction_request,0.0000
7,dissatisfaction,0.5250
7,policy_demand,0.5227
7,coproduction_request,0.0000
8,dissatisfaction,0.0000
8,policy_demand,0.0000
8,coproduction_request,1.0000
9,dissatisfaction,0.0000
9,policy_demand,1.0000
9,coproduction_request,0.0000
10,dissatisfaction,0.0000
10,policy_demand,0.4564
10,coproduction_request,0.0000
11,dissatisfaction,0.3780
11,policy_demand,1.0000
11,coproduction_request,0.0000
12,dissatisfaction,0.0000
12,policy_demand,0.0000
12,coproduction_request,1.0000
